date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
1900	2900.0	2400.0	2407.424686940966	5590	587.0	0.10500894454382827	0.097	0.113	-41.37931034482759	0.09769384480352925	0.08640625187632411	0.10835746215608033
2000	3000.0	2500.0	2441.2708638360177	5464	590.0	0.10797950219619326	0.0998	0.11620000000000001	-43.10344827586207	0.09843851356234472	0.08675933769724006	0.10943161618940157
2100	3100.0	2600.0	2499.7052474879047	5374	581.0	0.10811313732787495	0.0998	0.1164	-44.827586206896555	0.09918823456686521	0.08710780131619046	0.11069242208252002
2200	3200.0	2700.0	2548.57859922179	5140	571.0	0.11108949416342412	0.10250000000000001	0.11960000000000001	-46.55172413793103	0.09994303256556099	0.08755348774823149	0.11193023242284333
2300	3300.0	2800.0	2654.481890459364	4528	505.0	0.11152826855123675	0.1024	0.1207	-48.275862068965516	0.10070293228091369	0.08796320771075143	0.11306223516655363
2400	3400.0	2900.0	2726.1496861419605	4142	459.0	0.11081603090294544	0.1013	0.12040000000000001	-50.0	0.10146795840666632	0.08837508919323177	0.114364356356167
2500	3500.0	3000.0	2824.89564281872	3718	430.0	0.11565357719203873	0.10540000000000001	0.1259	-51.724137931034484	0.10223813560503546	0.08852203456880467	0.11563220276067221
2600	3600.0	3100.0	3004.145506419401	2804	347.0	0.12375178316690442	0.1116	0.1359	-53.44827586206897	0.10301348850388548	0.08881533942002633	0.11699483903182581
2700	3700.0	3200.0	3198.5716878402905	2204	275.0	0.12477313974591651	0.111	0.1385	-55.172413793103445	0.10379404169386412	0.08923918040004297	0.11836156486225993
2800	3800.0	3300.0	3326.886200716846	2232	279.0	0.125	0.11130000000000001	0.13870000000000002	-56.89655172413793	0.10457981972550025	0.08974058247418845	0.11964448573316763
2900	3900.0	3400.0	3451.770850884583	2374	291.0	0.12257792754844145	0.10940000000000001	0.13570000000000002	-58.62068965517241	0.10537084710626281	0.09024452280370583	0.12093940693294565
3000	4000.0	3500.0	3550.8423457730387	2626	320.0	0.12185833968012186	0.10940000000000001	0.13440000000000002	-60.3448275862069	0.10616714829758116	0.09068037169757094	0.12224639928812152
3100	4100.0	3600.0	3626.198198198198	2664	332.0	0.12462462462462462	0.1121	0.1371	-62.06896551724138	0.1069687477118275	0.09110558908554506	0.12356530356331678
3200	4200.0	3700.0	3714.056402439024	2624	327.0	0.12461890243902439	0.112	0.13720000000000002	-63.793103448275865	0.10777566970926009	0.09158369941845738	0.1248955472148254
3300	4300.0	3800.0	3809.6383476227593	2566	316.0	0.12314886983632112	0.11040000000000001	0.1358	-65.51724137931035	0.10858793859492787	0.09206406989039517	0.12627396877851083
3400	4400.0	3900.0	3894.9498069498068	2590	316.0	0.122007722007722	0.10940000000000001	0.1346	-67.24137931034483	0.10940557861553692	0.09254670851498153	0.1276897722512193
3500	4500.0	4000.0	3982.0086139389196	2554	315.0	0.12333594361785434	0.1106	0.1361	-68.96551724137932	0.11022861395627737	0.09302661979432625	0.1291191040614302
3600	4600.0	4100.0	4054.0663430420714	2472	297.0	0.12014563106796117	0.1073	0.13290000000000002	-70.6896551724138	0.11105706873761262	0.09346193769360459	0.13057814033471385
3700	4700.0	4200.0	4127.384615384615	2444	296.0	0.12111292962356793	0.1082	0.134	-72.41379310344827	0.11189096701202887	0.09382994797830638	0.13206855426554595
3800	4800.0	4300.0	4245.075062552127	2398	287.0	0.11968306922435362	0.1067	0.1326	-74.13793103448276	0.11273033276074643	0.09419607321744118	0.13357337292537733
3900	4900.0	4400.0	4343.729076790337	2318	286.0	0.12338222605694564	0.11	0.13670000000000002	-75.86206896551724	0.1135751898903925	0.09456348118980133	0.13505981184091184
4000	5000.0	4500.0	4483.704854368932	2060	248.0	0.1203883495145631	0.1063	0.13440000000000002	-77.58620689655173	0.11442556222963485	0.09493217523004428	0.1364577342166256
4100	5100.0	4600.0	4584.546006066734	1978	231.0	0.11678463094034378	0.10260000000000001	0.13090000000000002	-79.3103448275862	0.11528147352577704	0.09530215867216821	0.1379703626134787
4200	5200.0	4700.0	4697.402332361516	2058	232.0	0.11273080660835763	0.09910000000000001	0.1264	-81.03448275862068	0.11614294744131545	0.09570773080938202	0.1394970500516383
4300	5300.0	4800.0	4758.54356846473	1928	221.0	0.1146265560165975	0.1009	0.1293	-82.75862068965517	0.11701000755045712	0.0961935632621078	0.14103786708670685
4400	5400.0	4900.0	4845.466821885914	1718	194.0	0.11292200232828871	0.09860000000000001	0.1285	-84.48275862068965	0.11788267733559979	0.09668160144787007	0.14259117555613074
4500	5500.0	5000.0	4945.262701363073	1614	169.0	0.1047087980173482	0.09040000000000001	0.1202	-86.20689655172414	0.1187609801837733	0.09717185270107838	0.14415726631943207
4600	5600.0	5100.0	5039.585247883918	1654	170.0	0.10278113663845223	0.0888	0.11800000000000001	-87.93103448275862	0.11964493938304281	0.09766432435278548	0.14573763498264858
4700	5700.0	5200.0	5124.3778337531485	1588	163.0	0.1026448362720403	0.0884	0.1182	-89.65517241379311	0.120534578118874	0.09815902373034277	0.14733234743687088
4800	5800.0	5300.0	5261.9986282578875	1458	144.0	0.09876543209876543	0.08420000000000001	0.1148	-91.37931034482759	0.12142991947046024	0.09865595815705187	0.14889101381708522
4900	5900.0	5400.0	5381.04802259887	1416	134.0	0.09463276836158192	0.08020000000000001	0.1106	-93.10344827586206	0.1223309864070119	0.09906042526855184	0.1504307067402125
5000	6000.0	5500.0	5493.252941176471	1360	133.0	0.09779411764705882	0.0828	0.1143	-94.82758620689656	0.123237801784008	0.09942377269829344	0.1520624603180466
5100	6100.0	5600.0	5602.85590778098	1388	131.0	0.09438040345821326	0.07980000000000001	0.1105	-96.55172413793103	0.1241503883394105	0.09978830532822403	0.1537121127904361
5200	6200.0	5700.0	5739.994983277592	1196	111.0	0.09280936454849498	0.07730000000000001	0.1101	-98.27586206896552	0.12506876868984093	0.1001540259406669	0.15537638222827194
5300	6300.0	5800.0	5793.338842975207	1210	113.0	0.09338842975206611	0.0779	0.1106	-100.0	0.12599296532672036	0.10052093731641532	0.15705532696262084
5400	6400.0	5900.0	5863.63201320132	1212	120.0	0.09900990099009901	0.08310000000000001	0.11670000000000001	-101.72413793103448	0.1269230006123721	0.10088904223465958	0.15874799676797113
5500	6500.0	6000.0	5970.128664495114	1228	128.0	0.10423452768729642	0.08800000000000001	0.1221	-103.44827586206897	0.12785889677608794	0.10125834347291425	0.16045474921419048
5600	6600.0	6100.0	6090.12	1250	130.0	0.104	0.0879	0.1217	-105.17241379310344	0.1288006759101579	0.10162884380694422	0.16216879046912658
5700	6700.0	6200.0	6169.695945945946	1184	122.0	0.10304054054054054	0.08660000000000001	0.1212	-106.89655172413794	0.12974835996586365	0.10199345220135754	0.16383000881439858
