date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_up	pt_low
2300	3300.0	2800.0	2654.481890459364	4528	3487.0	0.7700971731448764	0.7578	0.7823	-48.275862068965516	0.8349871162397559	0.8818014342519034	0.7737529628010218
2400	3400.0	2900.0	2726.1496861419605	4142	3184.0	0.7687107677450506	0.7559	0.7815000000000001	-50.0	0.83546988249075	0.8833630590449401	0.7725641778465412
2500	3500.0	3000.0	2824.89564281872	3718	2866.0	0.7708445400753093	0.7573000000000001	0.7843	-51.724137931034484	0.8359515138381454	0.8844095244123239	0.7713711478805231
2600	3600.0	3100.0	3004.145506419401	2804	2167.0	0.7728245363766049	0.7573000000000001	0.7883	-53.44827586206897	0.8364320113262846	0.886368988947203	0.7700522861051218
2700	3700.0	3200.0	3198.5716878402905	2204	1698.0	0.7704174228675136	0.7529	0.788	-55.172413793103445	0.836911376008519	0.8877245057115618	0.768492719692584
2800	3800.0	3300.0	3326.886200716846	2232	1717.0	0.7692652329749103	0.7518	0.7867000000000001	-56.89655172413793	0.8373896089471455	0.8890727843423136	0.7669257769752553
2900	3900.0	3400.0	3451.770850884583	2374	1838.0	0.7742207245155855	0.7574000000000001	0.791	-58.62068965517241	0.8378667112133451	0.8908011174437247	0.7653514664205647
3000	4000.0	3500.0	3550.8423457730387	2626	2037.0	0.7757044935262757	0.7598	0.7917000000000001	-60.3448275862069	0.83834268388712	0.8923611609442986	0.7637697971473967
3100	4100.0	3600.0	3626.198198198198	2664	2086.0	0.7830330330330331	0.7674000000000001	0.7987000000000001	-62.06896551724138	0.8388175280572318	0.893883310933536	0.7621807789309996
3200	4200.0	3700.0	3714.056402439024	2624	2074.0	0.7903963414634146	0.7748	0.8059000000000001	-63.793103448275865	0.8392912448211391	0.8952239053855532	0.7605844222078135
3300	4300.0	3800.0	3809.6383476227593	2566	2032.0	0.7918939984411536	0.7762	0.8076	-65.51724137931035	0.8397638352849361	0.8966328259135402	0.758980738080216
3400	4400.0	3900.0	3894.9498069498068	2590	2062.0	0.7961389961389962	0.7806000000000001	0.8116	-67.24137931034483	0.8402353005632901	0.8980233034428365	0.7569600922679888
3500	4500.0	4000.0	3982.0086139389196	2554	2031.0	0.7952231793265466	0.7796000000000001	0.8109000000000001	-68.96551724137932	0.8407056417793797	0.8993951904321663	0.755164227599382
3600	4600.0	4100.0	4054.0663430420714	2472	1972.0	0.7977346278317152	0.7819	0.8135	-70.6896551724138	0.8411748600648337	0.9007439857973912	0.7536076555028015
3700	4700.0	4200.0	4127.384615384615	2444	1961.0	0.8023731587561375	0.7866000000000001	0.8181	-72.41379310344827	0.8416429565596686	0.9020752585546657	0.7520444359827935
3800	4800.0	4300.0	4245.075062552127	2398	1929.0	0.80442035029191	0.7886000000000001	0.8203	-74.13793103448276	0.8421099324122281	0.903243890582529	0.7505651557592008
