date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
3300	4300.0	3800.0	3809.6383476227593	2566	1413.0	0.5506625097427903	0.5315	0.5699000000000001	-65.51724137931035	0.5465534206426685	0.5196509450794632	0.5733855809120006
3400	4400.0	3900.0	3894.9498069498068	2590	1433.0	0.5532818532818533	0.5342	0.5724	-67.24137931034483	0.547419770928506	0.5199265578552733	0.5748057737791967
3500	4500.0	4000.0	3982.0086139389196	2554	1401.0	0.5485512920908379	0.5293	0.5678000000000001	-68.96551724137932	0.5482858339931839	0.5200521934691332	0.5762247327506799
3600	4600.0	4100.0	4054.0663430420714	2472	1350.0	0.5461165048543689	0.5265000000000001	0.5657	-70.6896551724138	0.549151604688812	0.5201778263166453	0.5775831361418414
3700	4700.0	4200.0	4127.384615384615	2444	1327.0	0.542962356792144	0.5233	0.5627	-72.41379310344827	0.550017077874548	0.5203034563740062	0.579064047973795
3800	4800.0	4300.0	4245.075062552127	2398	1305.0	0.5442035029190992	0.5243	0.5641	-74.13793103448276	0.5508822484167176	0.5204290836174158	0.5804848417582745
3900	4900.0	4400.0	4343.729076790337	2318	1267.0	0.5465918895599655	0.5263	0.5668000000000001	-75.86206896551724	0.5517471111889344	0.5205547080230778	0.581902820194465
4000	5000.0	4500.0	4483.704854368932	2060	1146.0	0.5563106796116505	0.5349	0.5778	-77.58620689655173	0.5526116610722195	0.5208362365611479	0.583336560713832
4100	5100.0	4600.0	4584.546006066734	1978	1121.0	0.5667340748230536	0.5449	0.5885	-79.3103448275862	0.5534758929551202	0.5211324150554297	0.584896716767079
4200	5200.0	4700.0	4697.402332361516	2058	1151.0	0.5592808551992225	0.5379	0.5807	-81.03448275862068	0.5543398017338295	0.5213917972279668	0.5864551723665722
4300	5300.0	4800.0	4758.54356846473	1928	1069.0	0.5544605809128631	0.5323	0.5766	-82.75862068965517	0.5552033823123037	0.521845801700214	0.5880118981989831
4400	5400.0	4900.0	4845.466821885914	1718	944.0	0.5494761350407451	0.526	0.5730000000000001	-84.48275862068965	0.5560666296023811	0.5219230178168486	0.5895389779225906
4500	5500.0	5000.0	4945.262701363073	1614	906.0	0.5613382899628253	0.5371	0.5855	-86.20689655172414	0.5569295385238987	0.5219685277548417	0.5910305149336085
4600	5600.0	5100.0	5039.585247883918	1654	927.0	0.560459492140266	0.5366000000000001	0.5844	-87.93103448275862	0.55779210400481	0.5220140372617936	0.5925203780903305
4700	5700.0	5200.0	5124.3778337531485	1588	910.0	0.5730478589420654	0.5487000000000001	0.5973	-89.65517241379311	0.5586543209813019	0.5221404235889453	0.5940085419197906
4800	5800.0	5300.0	5261.9986282578875	1458	859.0	0.5891632373113854	0.5639000000000001	0.6144000000000001	-91.37931034482759	0.5595161843979101	0.5223097558944438	0.5954949810716776
4900	5900.0	5400.0	5381.04802259887	1416	840.0	0.5932203389830508	0.5677	0.6188	-93.10344827586206	0.5603776892076361	0.5225725006468236	0.5969796703199477
5000	6000.0	5500.0	5493.252941176471	1360	807.0	0.5933823529411765	0.5673	0.6195	-94.82758620689656	0.5612388303720621	0.5228459181683096	0.598462584564416
5100	6100.0	5600.0	5602.85590778098	1388	808.0	0.5821325648414986	0.5562	0.608	-96.55172413793103	0.5620996028614661	0.5231193219440815	0.5999436988323309
5200	6200.0	5700.0	5739.994983277592	1196	707.0	0.5911371237458194	0.5633	0.619	-98.27586206896552	0.5629600016549366	0.5233927995154392	0.601422988279929
